DDInterID_A,Drug_A,DDInterID_B,Drug_B,Level,Mechanism,atc_category
DDInter636,Empagliflozin,DDInter768,Fluticasone (topical),1,Unknown,Respiratory System
DDInter669,Ertugliflozin,DDInter768,Fluticasone (topical),1,Unknown,Respiratory System
DDInter706,Exenatide,DDInter768,Fluticasone (topical),1,Unknown,Respiratory System
DDInter825,Glimepiride,DDInter768,Fluticasone (topical),1,Unknown,Respiratory System
DDInter826,Glipizide,DDInter768,Fluticasone (topical),1,Unknown,Respiratory System
DDInter831,Glyburide,DDInter768,Fluticasone (topical),1,Unknown,Respiratory System
DDInter934,Insulin human,DDInter768,Fluticasone (topical),1,Unknown,Respiratory System
DDInter929,Insulin aspart (aspart),DDInter768,Fluticasone (topical),1,Unknown,Respiratory System
DDInter928,Insulin aspart (aspart protamine),DDInter768,Fluticasone (topical),1,Unknown,Respiratory System
DDInter930,Insulin degludec,DDInter768,Fluticasone (topical),1,Unknown,Respiratory System
DDInter931,Insulin detemir,DDInter768,Fluticasone (topical),1,Unknown,Respiratory System
DDInter932,Insulin glargine,DDInter768,Fluticasone (topical),1,Unknown,Respiratory System
DDInter933,Insulin glulisine,DDInter768,Fluticasone (topical),1,Unknown,Respiratory System
DDInter935,"Insulin human (inhalation, rapid acting)",DDInter768,Fluticasone (topical),1,Unknown,Respiratory System
DDInter936,Insulin human (isophane),DDInter768,Fluticasone (topical),1,Unknown,Respiratory System
DDInter940,Insulin lispro,DDInter768,Fluticasone (topical),1,Unknown,Respiratory System
DDInter941,Insulin lispro (protamine),DDInter768,Fluticasone (topical),1,Unknown,Respiratory System
DDInter937,Insulin human (regular),DDInter768,Fluticasone (topical),1,Unknown,Respiratory System
DDInter939,Insulin human (zinc),DDInter768,Fluticasone (topical),1,Unknown,Respiratory System
DDInter938,Insulin human (zinc extended),DDInter768,Fluticasone (topical),1,Unknown,Respiratory System
DDInter1070,Linagliptin,DDInter768,Fluticasone (topical),1,Unknown,Respiratory System
DDInter1077,Liraglutide,DDInter768,Fluticasone (topical),1,Unknown,Respiratory System
DDInter1082,Lixisenatide,DDInter768,Fluticasone (topical),1,Unknown,Respiratory System
DDInter1217,Miglitol,DDInter768,Fluticasone (topical),1,Unknown,Respiratory System
DDInter1269,Nateglinide,DDInter768,Fluticasone (topical),1,Unknown,Respiratory System
DDInter1472,Pioglitazone,DDInter768,Fluticasone (topical),1,Unknown,Respiratory System
DDInter1506,Pramlintide,DDInter768,Fluticasone (topical),1,Unknown,Respiratory System
DDInter1581,Repaglinide,DDInter768,Fluticasone (topical),1,Unknown,Respiratory System
DDInter1621,Rosiglitazone,DDInter768,Fluticasone (topical),1,Unknown,Respiratory System
DDInter1646,Saxagliptin,DDInter768,Fluticasone (topical),1,Unknown,Respiratory System
DDInter768,Fluticasone (topical),DDInter1660,Semaglutide,1,Unknown,Respiratory System
DDInter1679,Sitagliptin,DDInter768,Fluticasone (topical),1,Unknown,Respiratory System
DDInter1826,Tolazamide,DDInter768,Fluticasone (topical),1,Unknown,Respiratory System
DDInter1828,Tolbutamide,DDInter768,Fluticasone (topical),1,Unknown,Respiratory System
