cid,cid_name,ddinter_name,ddinter_num,match_type,score
CID100005051,rescinnamine,,,unmatched,0.0
CID100005052,reserpine,reserpine,1582,exact,1.0
CID100005064,ribavirin,ribavirin,1587,exact,1.0
CID100005070,riluzole,riluzole,1596,exact,1.0
CID100005071,rimantadine,rimantadine,1597,exact,1.0
CID100005073,risperidone,risperidone,1605,exact,1.0
CID100005076,ritonavir,ritonavir,1607,exact,1.0
CID100005077,rivastigmine,rivastigmine,1610,exact,1.0
CID100005078,rizatriptan,rizatriptan,1611,exact,1.0
CID100005090,rofecoxib,rofecoxib,1613,exact,1.0
CID100005095,ropinirole,ropinirole,1619,exact,1.0
CID100005106,roxithromycin,,,unmatched,0.0
CID100005152,salmeterol,salmeterol,1635,exact,1.0
CID100005155,stavudine,stavudine,1710,exact,1.0
CID100005161,salsalate,salsalate,1637,exact,1.0
CID100005184,scopolamine,scopolamine,1647,exact,1.0
CID100005193,secobarbital,secobarbital,1650,exact,1.0
CID100005195,deprenyl,,,unmatched,0.0
CID100005203,sertraline,sertraline,1662,exact,1.0
CID100005206,sevoflurane,sevoflurane,1664,exact,1.0
CID100005210,sibutramine,sibutramine,1665,exact,1.0
CID100005212,sildenafil,sildenafil,1666,exact,1.0
CID100005214,silver,,,unmatched,0.0
CID100005215,sulfadiazine,sulfadiazine,1721,exact,1.0
CID100005238,sodium,,,unmatched,0.0
CID100005245,risedronate,,,unmatched,0.0
CID100005248,sodium,,,unmatched,0.0
CID100005253,sotalol,sotalol,1704,exact,1.0
CID100005257,sparfloxacin,sparfloxacin,1705,exact,1.0
CID100005267,spironolactone,spironolactone,1707,exact,1.0
CID100005291,imatinib,imatinib,909,exact,1.0
CID100005297,streptomycin,streptomycin,1713,exact,1.0
CID100005300,streptozotocin,streptozocin,1714,fuzzy,0.9231
CID100005311,vorinostat,vorinostat,1947,exact,1.0
CID100005314,succinylcholine,succinylcholine,1716,exact,1.0
CID100005318,sulconazole,,,unmatched,0.0
CID100005320,sulfacetamide,,,unmatched,0.0
CID100005329,sulfamethoxazole,sulfamethoxazole,1724,exact,1.0
CID100005333,sulfonamide,,,unmatched,0.0
CID100005352,sulindac,sulindac,1729,exact,1.0
CID100005358,sumatriptan,sumatriptan,1730,exact,1.0
CID100005359,suprofen,ibuprofen,900,fuzzy,0.8235
CID100005372,tacrolimus,tacrolimus,1735,exact,1.0
CID100005376,tamoxifen,tamoxifen,1744,exact,1.0
CID100005379,gatifloxacin,gatifloxacin,809,exact,1.0
CID100005381,tazarotene,tazarotene,1748,exact,1.0
CID100005391,temazepam,temazepam,1761,exact,1.0
CID100005394,temozolomide,temozolomide,1762,exact,1.0
CID100005396,teniposide,teniposide,1765,exact,1.0
CID100005401,terazosin,terazosin,1767,exact,1.0
CID100005402,terbinafine,terbinafine,1768,exact,1.0
CID100005403,terbutaline,terbutaline,1769,exact,1.0
CID100005404,terconazole,econazole,616,fuzzy,0.9
CID100005407,testolactone,testolactone,1774,exact,1.0
CID100005408,testosterone,testosterone,1775,exact,1.0
CID100005409,testosterone,testosterone,1775,exact,1.0
CID100005410,testosterone,testosterone,1775,exact,1.0
CID100005411,tetracaine,tetracaine,1779,exact,1.0
CID100005419,tetrahydrozoline,,,unmatched,0.0
CID100005426,thalidomide,thalidomide,1789,exact,1.0
CID100005430,thiabendazole,thiabendazole,1792,exact,1.0
CID100005452,thioridazine,thioridazine,1796,exact,1.0
CID100005453,thiotepa,thiotepa,1797,exact,1.0
CID100005454,thiothixene,thiothixene,1798,exact,1.0
CID100005466,tiagabine,tiagabine,1801,exact,1.0
CID100005468,tiaprofenic,,,unmatched,0.0
CID100005470,tibolone,,,unmatched,0.0
CID100005472,ticlopidine,ticlopidine,1804,exact,1.0
CID100005478,timolol,timolol,1809,exact,1.0
CID100005479,tinidazole,tinidazole,1811,exact,1.0
CID100005483,tiopronin,,,unmatched,0.0
CID100005486,tirofiban,tirofiban,1818,exact,1.0
CID100005487,tizanidine,tizanidine,1821,exact,1.0
CID100005496,tobramycin,tobramycin,1822,exact,1.0
CID100005503,tolazamide,tolazamide,1826,exact,1.0
CID100005505,tolbutamide,tolbutamide,1828,exact,1.0
CID100005508,tolmetin,tolmetin,1831,exact,1.0
CID100005512,tolterodine,tolterodine,1832,exact,1.0
CID100005514,topiramate,topiramate,1834,exact,1.0
CID100005515,topotecan,topotecan,1835,exact,1.0
CID100005516,toremifene,toremifene,1837,exact,1.0
CID100005523,tramadol,tramadol,1841,exact,1.0
CID100005524,tramazoline,,,unmatched,0.0
CID100005525,trandolapril,trandolapril,1843,exact,1.0
CID100005526,tranexamic,,,unmatched,0.0
CID100005530,tranylcypromine,tranylcypromine,1845,exact,1.0
CID100005533,trazodone,trazodone,1851,exact,1.0
CID100005538,retinoic,tretinoin,1853,fuzzy,0.8235
